Company Name,Logo URL,Description Line,,,,,,,
Morton,https://refed.org/uploads/articles/Morton_Logo_full_color.jpg?_cchid=4b75802a85a25d4b0bd937cd9b243321,Real estate development and construction company.,,,,,,,
Motila Oswal,https://images.seeklogo.com/logo-png/50/1/motilal-oswal-financial-services-logo-png_seeklogo-502493.png,#N/A,,,,,,,
MUFG Pension & Market Services,https://www.acnnewswire.com/images/company/MUFG220.jpg,Financial services company providing pension and market services.,,,,,,,
Muthoot Finance,https://logowik.com/content/uploads/images/muthoot-finance9193.jpg,Non-banking financial company specializing in gold loans.,,,,,,,
NAOS,https://www.globalcosmeticsnews.com/wp-content/uploads/2022/09/naos-600-x-300-1280x640.jpeg,Skincare and beauty products company.,,,,,,,
Naturell India Private Limited,http://food.industry-report.net/wp-content/uploads/2019/01/naturell-india-pvt-ltd.jpg,#N/A,,,,,,,
Network Consultants,https://images-platform.99static.com/7LOzPQ1F97IG7a7QMQDQQFbtmpA=/0x0:1215x1215/500x500/top/smart/99designs-contests-attachments/95/95630/attachment_95630783,IT consulting and network solutions provider.,,,,,,,
NLB Services,https://media.designrush.com/agencies/290868/conversions/NLB-Services-logo-profile.jpg,IT staffing and workforce solutions provider.,,,,,,,
NWAY HRM,https://play-lh.googleusercontent.com/1Uc2TTjRuPDbmvAvN9LTKahDTswd2K9W8Ozd8sqgp9W5P6zo0Y95tU5-IhXSD-GdeP8,HR management solutions and consulting services provider.,,,,,,,
Nxtra by Airtel,https://www.nxtra.in/nxtra/images/blog_author.png,Data center services company owned by Bharti Airtel.,,,,,,,
OGRO Capital,https://www.agrocapital.ca/wp-content/uploads/2021/09/cropped-default.png,Investment management and advisory firm.,,,,,,,
OLA,https://toppng.com/uploads/preview/ola-cabs-logo-11609370766i2yfjghvsv.png,Ride-hailing and mobility services platform.,,,,,,,
Ola Electric Mobility,https://c8.alamy.com/comp/2WFJA3B/ukraine-31st-jan-2024-in-this-photo-illustration-the-ola-electric-mobility-logo-is-seen-on-a-smartphone-and-in-the-background-credit-sopa-images-limitedalamy-live-news-2WFJA3B.jpg,Electric vehicle manufacturer focusing on electric scooters.,,,,,,,
OM Trans Logistics Limited,https://media-exp1.licdn.com/dms/image/C510BAQHODqZTmtl1vA/company-logo_200_200/0/1532930331583?e=2147483647&v=beta&t=oSOiVwkuPC4154ZyRRKb-JQ7oeOGYuWKxWBx3zy15ms,#N/A,,,,,,,
Onward Technologies Limited,https://onwardtek.com/wp-content/uploads/2023/04/Onward_Tek_Logo.png,#N/A,,,,,,,
OYO,https://logodix.com/logo/738766.png,Hospitality chain operating budget hotels and living spaces.,,,,,,,
Perennial Systems,https://cdn.dribbble.com/users/1629976/screenshots/19271105/media/75d70ecea702d5b2fa2e8fec21208350.jpg?compress=1&resize=400x300&vertical=top,Software development and IT services company.,,,,,,,
Persistent Systems,https://companieslogo.com/img/orig/PERSISTENT.NS_BIG-8fb78ddd.png?t=1604067042,Technology services company specializing in software product development.,,,,,,,
Pharmeasy,https://tukuz.com/wp-content/uploads/2023/03/pharmeasy-logo-vector.png,Online pharmacy and healthcare platform.,,,,,,,
Phonepe,https://1000logos.net/wp-content/uploads/2022/11/PhonePe-Logo.png,Digital payments and financial services platform.,,,,,,,
PlanetSpark,https://bestmediainfo.com/uploads/2021/12/planetsparklogo_9.jpg,Online communication skills learning platform for children.,,,,,,,
PolicyBoss,https://www.policyboss.com/Images/PB.png,Insurance comparison and distribution platform.,,,,,,,
Prestige Group,https://companieslogo.com/img/orig/PRESTIGE.NS_BIG-52e09255.png?t=1604067042,Real estate development company.,,,,,,,
Probus Insurance Broker Private Limited,https://www.the-digital-insurer.com/wp-content/uploads/gravity_forms/121-b85494d6f39a74d0b46428cebf86381b/2020/03/Probus-Logo.png,#N/A,,,,,,,
Property Pistol PVT LTD,https://image.slidesharecdn.com/propertypistol-210527104557/85/property-pistol-1-638.jpg?cb=1668834285,#N/A,,,,,,,
Prozo,https://www.scrut.io/wp-content/uploads/2022/12/prozo-01.png,Supply chain and warehousing solutions provider.,,,,,,,
Public Media Solution,https://static.wikia.nocookie.net/logopedia/images/7/7c/Public_Media_Solution.jpeg/revision/latest/scale-to-width-down/330?cb=20200908183542,Digital marketing and PR agency.,,,,,,,
Quicksense Innovations,https://www.fastenersweb.com/upload/companylogo/99370b299cef5ebd71d7f39e165fe40a.png,Technology solutions provider using IoT and AI.,,,,,,,
Qx Global,https://qxglobalgroup.com/wp-content/uploads/2020/12/new-identity-same-commitment-unveiling-the-new-qx-logo.jpg,Business process outsourcing and finance services provider.,,,,,,,
R1 RCM India,https://companieslogo.com/img/orig/RCM_BIG-d0c11098.png?t=1602007417,Revenue cycle management services for healthcare providers.,,,,,,,
R2R Consultants / Matrix 3D,https://media-exp1.licdn.com/dms/image/C4E0BAQGDPpvT-mA0TQ/company-logo_200_200/0/1624513816373?e=2159024400&v=beta&t=GKLeT2MVR-IOyyd8cy33LvD-vOmFxTqTc7G8m8iL5dg,#N/A,,,,,,,
Radio City India,https://www.radiocity.in/assets/images/rc-logo.png,FM radio broadcaster.,,,,,,,
Raheja Universal,https://rahejadistricts.com/_next/static/media/raheja_universal_logo.142b57fc.webp,Real estate development company.,,,,,,,
Randstad,https://500pour100.com/wp-content/uploads/2017/11/randstad-logo-HD.jpg,HR services and staffing solutions provider.,,,,,,,
Rawalwasia Groups,https://rawalwasia.in/wp-content/uploads/2023/10/Rawalwasia.png,Business conglomerate with interests in real estate and infrastructure.,,,,,,,
Recur Club,https://uploads-ssl.webflow.com/62c3cad34a5b3235b0d518de/6306128a1b93d6fe29b70a6f_Recur Logo Black%401.5x.svg,Financial technology platform for recurring revenue businesses.,,,,,,,
Regalix,http://assets.agencyspotter.com/uploads/agency_image/image/30486/twitter_Regalix-02-01.jpg,Revenue acceleration and customer experience company.,,,,,,,
Reliance Retail,https://assets.entrepreneur.com/content/3x2/2000/20200215095952-Relianceretailv1.jpeg,Retail business of Reliance Industries Limited.,,,,,,,
RISE Infraventures Limited,https://images.yourstory.com/cs/images/companies/f7b663aab4ec-WhatsAppImage20220920at3-1663756095528.jpg?fm=auto&ar=1:1&mode=fill&fill=solid&fill-color=fff,#N/A,,,,,,,
S & D Wealth Advisors,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100083324651538,Wealth management and financial planning services provider.,,,,,,,
S K Fincap advisors pvt.ltd,https://www.gnbcc.net/Pix/News/2021-05-28_0_Logo-_FINCAP.png,#N/A,,,,,,,
Sab Paisa,https://static.theprint.in/wp-content/uploads/2023/07/ANI-20230704085833.jpg,Payment solutions and financial services provider.,,,,,,,
SATMAT GROUP,https://images.yourstory.com/cs/images/companies/ea7241412c13-satmatlogo-1647343772376.jpg?fm=auto&ar=1:1&mode=fill&fill=solid&fill-color=fff,Business group with interests in multiple sectors.,,,,,,,
SBI Bank,https://cdn.freebiesupply.com/logos/large/2x/sbi-state-bank-of-india-logo-png-transparent.png,India's largest public sector bank.,,,,,,,
Servotech Power Systems Limited,https://www.indianbureaucracy.com/wp-content/uploads/2023/05/Servotech-Power-Systems-Logo-678x381.png,#N/A,,,,,,,
Share India Insurance Brokers Pvt Ltd.,https://www.shareindia.com/wp-content/uploads/2023/11/71.png,#N/A,,,,,,,
SIB Infotech,https://www.sibinfotech.com/assets/images/sib-logo.png,IT services and solutions provider.,,,,,,,
Six Phrase,https://www.verandalearning.com/web/application/files/4716/8958/6183/Six_Phrase_1.png,Natural language processing and AI solutions provider.,,,,,,,
smartservicez.com,https://smartservices.com.vn/wp-content/uploads/2022/07/LOGO-FILE-THIET-KE-black-1024x318.png,#N/A,,,,,,,
SMS Group GmbH,https://i1.rgstatic.net/ii/institution.image/AS:836767548715009%401576512338088_l,Engineering company for steel and nonferrous metals processing.,,,,,,,
Sony,https://logos-world.net/wp-content/uploads/2020/04/Sony-Logo-1962-1969.png,Global electronics and entertainment conglomerate.,,,,,,,
Source Solutions Incorporated,https://media-exp1.licdn.com/dms/image/C4E0BAQHJJKLYG8m1AA/company-logo_200_200/0/1639885959170?e=2147483647&v=beta&t=UZt9jWaNjNZArT1nvA6S67k-1qdSzV9NZJ7n9tGnpQk,#N/A,,,,,,,
Squareyards.,https://images.yourstory.com/cs/images/companies/sy-logo-1620909379563.jpg?fm=auto&ar=1:1&mode=fill&fill=solid&fill-color=fff,#N/A,,,,,,,
SRKay Consulting Group,https://fastercapital.com/images/company/slider/srkay-consulting-group.jpg,Technology consulting and venture capital firm.,,,,,,,
Stalwart Management Consulting / Wipro,https://i.pinimg.com/originals/03/1a/b1/031ab1329da9a72190cacb119eed906a.png,#N/A,,,,,,,
Stellar Information Technology Pvt. Ltd,https://media-exp1.licdn.com/dms/image/C510BAQHV2XSqzhQfNg/company-logo_200_200/0/1534771017810?e=2147483647&v=beta&t=UMZzS0-0QTRcKXuuObKbSzJ5p-yj1ZclSwgI5Gz2y4c,#N/A,,,,,,,
Stigma Software pvt,https://cf.shopee.co.id/file/8fc8bd9361879968824e7b9b95291989,#N/A,,,,,,,
Stirrup Communication Consultants.,"https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/jcevmwhxdr8v652mnw1t",#N/A,,,,,,,
Stone Soup.,https://www.arieltheatrical.org/wp-content/uploads/2022/11/Stone-Soup-Logo-scaled.jpg,#N/A,,,,,,,
Sula Wines,"https://www.wine.com/product/images/w_480,c_fit,q_auto:good,fl_progressive/387219_refDetail-0.jpg",Wine producer and vineyard operator.,,,,,,,
sun king,https://www.pngkey.com/png/detail/107-1071705_sun-king-brewig-logo-sun-king-brewery-logo.png,Solar energy products manufacturer for off-grid communities.,,,,,,,
supreme facility management pvt. ltd.,https://supremefacility.com/wp-content/uploads/2023/11/sfm-sticky-logo-1.png,#N/A,,,,,,,
Swastika Investmart Ltd,https://media-exp1.licdn.com/dms/image/C510BAQGI7Ltg6BD9qw/company-logo_200_200/0?e=2159024400&v=beta&t=Sd1qyI62PvC153AaI-P_GoQRuusDIdcN-tgIi7MjnLY,#N/A,,,,,,,
Swiggy,https://logos-world.net/wp-content/uploads/2020/11/Swiggy-Logo.png,Online food ordering and delivery platform.,,,,,,,
Synergy Staffing & Consultancy Services Pvt. Ltd.,https://3.imimg.com/data3/LX/GS/MY-9632582/synergy-staffing-consultancy-services-private-limited-logo.png,#N/A,,,,,,,
T&N Business Services Pvt Ltd,https://www.tnservices.in/img/logo.png,#N/A,,,,,,,
T&S Consultan,https://img1.wsimg.com/isteam/ip/9a8fb1bb-0bfe-44e3-a781-c3a4cdcf7512/T%26S Logo Group 2-2.png,#N/A,,,,,,,
TATA AIA,https://aniportalimages.s3.amazonaws.com/media/details/Tata_AIA_Life_Brand_Logo_OBDLjtc.jpg,Life insurance company offering various insurance products.,,,,,,,
TCS,https://indiancompanies.in/wp-content/uploads/2020/05/TCS-Logo-Tata-consultancy-service-1920x1144.png,"Global IT services, consulting, and business solutions company.",,,,,,,
Team Computers,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/ac7eda1df1e4388fc5d07d518cd87555,IT infrastructure and solutions provider.,,,,,,,
"Technossus, USA",https://d1hbpr09pwz0sk.cloudfront.net/logo_url/technossus-usa-5d7c5fb0,#N/A,,,,,,,
The Leela,https://failurebeforesuccess.com/wp-content/uploads/2022/10/Untitled-design-1024x907.png,Luxury hotel chain.,,,,,,,
The Talent Aura,https://www.enovation.ie/wp-content/uploads/2020/09/Aura_Talent_Logo_Stacked_Color-2-1.png,HR consulting and talent acquisition services provider.,,,,,,,
Thinkitive,https://freshers.jobs/wp-content/uploads/2022/03/thinkitive.jpg,Software development and technology consulting company.,,,,,,,
Thyrocare Technologies Ltd.,https://mysuccessproject.in/wp-content/uploads/2023/01/Thyrocare-Logo.jpg,#N/A,,,,,,,
Tiger Analytics,https://www.mediainfoline.com/wp-content/uploads/2023/10/tiger-analytics-logo.jpg,Analytics and AI solutions provider.,,,,,,,
Titan Biotech Ltd.,https://iconape.com/wp-content/png_logo_vector/titan-biotech-limited-logo.png,#N/A,,,,,,,
TN Services,https://tnservices.nl/wp-content/uploads/2022/06/tns_logo.jpg,Business support and consulting services provider.,,,,,,,
trackwizz,https://images.yourstory.com/cs/images/companies/download73-1694504019773.jpg?fm=auto&ar=1:1&mode=fill&fill=solid&fill-color=fff,GPS tracking and fleet management solutions provider.,,,,,,,
Transperfect,https://www.inclusionhub.com/hubfs/resource logos/TransPerfect logo.png,Language services and technology solutions provider.,,,,,,,
Trantor.,https://img.freepik.com/premium-vector/tractor-logo-illustration-premium-vector_86683-25.jpg?w=2000,#N/A,,,,,,,
TravClan,https://tourismquest.com/wp-content/uploads/2023/05/TravClan-Logo.jpg,B2B travel technology platform.,,,,,,,
Treebo Hotel,https://iconape.com/wp-content/files/cq/266660/svg/266660.svg,#N/A,,,,,,,
Trekw,https://logowik.com/content/uploads/images/trek-bicycle-corporation2920.jpg,Location-based services and mapping solutions provider.,,,,,,,
TSL Consulting Pvt. Ltd.,https://image3.mouthshut.com/images/imagesp/925857126s.png,#N/A,,,,,,,
UNICSOL INDIA PVT LTD,https://dynamic.placementindia.com/recruiter_comp_logo/615822.png,#N/A,,,,,,,
Unimrkt Research,https://www.unimrkt.com/images/footer-logo2.png,Market research and consulting company.,,,,,,,
Up Market Research,https://media.glassdoor.com/sqll/2213415/up-market-research-squarelogo-1582618622646.png,Market research and business intelligence company.,,,,,,,
utkarsh Small Finance,https://aniportalimages.s3.amazonaws.com/media/details/Utkarsh_Bank_Logo2021082106533420210821073936.jpg,Banking institution serving underserved segments.,,,,,,,
Vaco Binary,https://www.vacobinary.in/img/vacobinary-logo1.png,IT staffing and consulting services provider.,,,,,,,
Varun Beverage,https://companieslogo.com/img/orig/VBL.NS-707b8948.png?t=1650447235,PepsiCo's bottling partner in India.,,,,,,,
Vijay Khetan Group,https://im.proptiger.com/3/110314/13/vijay-khetan-group-975238.png,Real estate development company.,,,,,,,
Vision Group,https://app.jobvite.com/logo/VisionGrouplogotransparentbackground7_1683049913520.png,Business conglomerate with interests in multiple sectors.,,,,,,,
Vistaar Finance Service Pvt Ltd,https://static.theprint.in/wp-content/uploads/2022/04/Vistaarlogo2022040612260120220406123447.jpg,#N/A,,,,,,,
VMC GROUPS / DHFC,https://hoachatvietmy.net/wp-content/uploads/2023/06/logo-cua-cong-ty-vmc.jpg,#N/A,,,,,,,
white lotus corporation,https://www.whitelotuscorporation.com/wp-content/uploads/2021/02/Whitelotus_Corp_Logo.png,Real estate and infrastructure development company.,,,,,,,
Wipro,https://1000logos.net/wp-content/uploads/2021/05/Wipro-logo.png,Global IT services and consulting company.,,,,,,,
Xpressbees,https://asset.brandfetch.io/id3Wnmm8UV/idotNJr0kv.png?updated=1667635954847,E-commerce logistics and delivery services provider.,,,,,,,
Ymedia,https://www.marketingdirecto.com/wp-content/uploads/2016/12/imagen-ymedia-2.jpg,Digital media and advertising agency.,,,,,,,
Yocket,https://image.pitchbook.com/WTBFTzQ5Ivh0kxfVaDq4GnHOqPx1621419626639_200x200,Overseas education consulting platform.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
